"idConfiguration","ACK","BIB","BOLD_ACK","BREF","EMAIL","JS_FOOTNOTESIZE","JS_SCRIPTSIZE","JS_STYLE","JS_TINY","LONG_ACK","LONG_AFFILIATION","PARAGRAPH_ACK","PL_FOOTNOTE","VARY_LATEX","bref_size","cserver_size","vspace_bib","nbPages","sizePDF"
"11","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.8","0.9","0.9","4","220"
"417","true","true","false","true","false","false","true","true","false","true","true","true","true","true","0.9","0.9","4.9","5","224"
"180","true","true","true","true","false","false","true","true","false","true","false","false","false","true","0.8","0.9","4.9","5","216"
"281","true","true","true","true","true","false","false","true","true","true","true","false","false","true","0.9","0.8","2.9","4","220"
"153","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.8","0.9","2.6","5","224"
"358","true","true","true","true","false","false","false","true","true","true","true","false","true","true","0.8","0.8","1.6","4","216"
"158","true","true","false","true","false","false","true","true","false","true","false","true","true","true","0.9","0.9","3.8","5","224"
"239","true","true","true","true","false","false","true","true","false","false","false","false","true","true","0.8","0.9","4.7","5","216"
"368","true","true","false","true","true","false","false","true","true","false","true","true","true","true","0.9","0.8","3.3","4","224"
"310","false","true","false","true","false","false","true","true","false","false","true","false","true","true","0.9","0.9","0.4","5","216"
"432","true","true","true","true","true","false","true","true","false","true","true","false","false","true","0.8","0.9","4.2","5","220"
"245","false","true","false","true","true","false","true","true","false","false","true","false","false","true","0.8","0.8","4.4","5","216"
"410","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.7","0.8","2.3","4","216"
"327","true","true","true","true","false","false","false","true","true","true","true","false","false","true","0.9","0.9","2.8","4","216"
"490","true","true","true","true","false","false","false","true","true","true","true","false","true","true","1.0","0.7","0.2","4","216"
"148","true","true","true","true","true","false","true","true","false","true","true","false","true","true","0.9","0.9","3.4","5","220"
"176","true","true","true","true","false","false","true","true","false","true","false","false","true","true","1.0","0.7","1.0","5","216"
"483","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.9","0.8","2.7","5","224"
"128","false","true","false","true","false","false","true","true","false","false","false","false","false","true","0.8","0.8","4.5","5","216"
"276","true","true","false","true","true","false","false","true","true","true","true","true","false","true","0.7","0.8","1.8","4","224"
"117","true","true","false","true","false","false","false","true","true","true","true","true","true","true","0.8","0.9","5.0","5","224"
"457","true","true","false","true","false","false","false","true","true","false","false","true","true","true","0.8","0.7","4.5","4","224"
"220","true","true","true","true","false","false","true","true","false","true","true","false","true","true","0.8","0.7","0.6","5","216"
"59","false","true","false","true","false","false","true","true","false","false","false","false","false","true","0.9","0.7","2.1","4","216"
"299","true","true","true","true","true","false","true","true","false","true","true","false","false","true","0.8","0.8","4.1","5","220"
"363","true","true","false","true","false","false","true","true","false","false","false","true","false","true","0.7","0.9","1.6","5","224"
"73","true","true","false","true","true","false","true","true","false","false","true","true","false","true","1.0","0.7","3.1","5","224"
"44","true","true","true","true","true","false","false","true","true","true","true","false","false","true","1.0","0.7","4.1","4","216"
"210","true","true","true","true","true","false","true","true","false","false","true","false","true","true","0.9","0.8","3.9","5","220"
"405","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.8","0.7","3.6","4","224"
"270","true","true","true","true","true","false","false","true","true","true","true","false","false","true","1.0","0.9","2.3","4","216"
"249","true","true","true","true","false","false","false","true","true","false","false","false","false","true","0.9","0.7","4.8","4","216"
"450","true","true","false","true","false","false","true","true","false","true","false","true","true","true","0.7","0.7","4.1","5","228"
"41","true","true","true","true","true","false","true","true","false","false","true","false","true","true","0.9","0.7","2.1","5","220"
"442","true","true","true","true","false","false","false","true","true","true","true","false","true","true","0.8","0.8","2.5","4","216"
"318","false","true","false","true","false","false","false","true","true","false","true","false","false","true","1.0","0.9","1.5","4","216"
